year,Inflation rate, budget ,budget_cleaned, gross ,gross_cleaned,company,country,director,genre,,name,rating,released,runtime,score,star,votes,writer
2000,1.3938,"$150,000 ","$209,070 ","$2,882,062 ","$4,017,018 ",Miramax,USA,Gary Winick,Comedy,,Tadpole,PG-13,8/23/02,78,6.2,Sigourney Weaver,5310,Heather McGowan
2000,1.3938,"$1,800,000 ","$2,508,840 ","$3,050,934 ","$4,252,392 ",ErgoArts,USA,Maggie Greenwald,Drama,,Songcatcher,PG-13,7/27/01,109,7.2,Janet McTeer,2939,Maggie Greenwald
2000,1.3938,"$14,000,000 ","$19,513,200 ","$3,060,963 ","$4,266,370 ",Destination Films,USA,Sally Field,Drama,,Beautiful,PG-13,9/29/00,112,5.4,Minnie Driver,3378,Jon Bernstein
2000,1.3938,"$4,500,000 ","$6,272,100 ","$3,609,278 ","$5,030,612 ",Artisan Entertainment,USA,Darren Aronofsky,Drama,,Requiem for a Dream,R,12/15/00,102,8.3,Ellen Burstyn,630161,Hubert Selby Jr.
2000,1.3938,"$15,000,000 ","$20,907,000 ","$4,734,235 ","$6,598,577 ",Hollywood Pictures,USA,Bruce Paltrow,Comedy,,Duets,R,9/15/00,112,6,Huey Lewis,8505,John Byrum
2000,1.3938,"$8,000,000 ","$11,150,400 ","$5,018,450 ","$6,994,716 ",Fox Searchlight Pictures,USA,Fina Torres,Comedy,,Woman on Top,R,9/22/00,92,5.3,Pen_ope Cruz,9009,Vera Blasi
2000,1.3938,"$24,000,000 ","$33,451,200 ","$5,108,820 ","$7,120,673 ",NPV Entertainment,USA,Davis Guggenheim,Drama,,Gossip,R,4/21/00,90,5.9,James Marsden,13017,Gregory Poirier
2000,1.3938,"$12,500,000 ","$17,422,500 ","$5,217,498 ","$7,272,149 ",Morgan Creek Productions,USA,Mary Lambert,Drama,,The In Crowd,PG-13,7/19/00,105,4.6,Lori Heuring,3803,Mark Gibson
2000,1.3938,"$8,500,000 ","$11,847,300 ","$6,055,661 ","$8,440,380 ",Artisan Entertainment,USA,Christopher McQuarrie,Action,,The Way of the Gun,R,9/8/00,119,6.7,Ryan Phillippe,28466,Christopher McQuarrie
2000,1.3938,"$60,000,000 ","$83,628,000 ","$6,291,602 ","$8,769,235 ",Brillstein-Grey Entertainment,USA,Mike Nichols,Comedy,,What Planet Are You From?,R,3/3/00,105,5.6,Garry Shandling,8346,Garry Shandling
2000,1.3938,"$50,000,000 ","$69,690,000 ","$6,543,194 ","$9,119,904 ",Columbia Pictures Corporation,USA,Hugh Hudson,Adventure,,I Dreamed of Africa,PG-13,5/5/00,114,5.6,Kim Basinger,3933,Kuki Gallmann
2000,1.3938,"$10,000,000 ","$13,938,000 ","$7,027,345 ","$9,794,713 ",Universal Pictures,USA,Scott Alexander,Comedy,,Screwed,PG-13,5/12/00,81,5.7,Norm MacDonald,7286,Scott Alexander
2000,1.3938,"$6,000,000 ","$8,362,800 ","$8,596,914 ","$11,982,379 ",Brant-Allen,USA,Ed Harris,Biography,,Pollock,R,3/23/01,122,7,Ed Harris,24202,Steven Naifeh
2000,1.3938,"$32,000,000 ","$44,601,600 ","$8,735,529 ","$12,175,580 ",Columbia Pictures Corporation,USA,David Raynr,Comedy,,Whatever It Takes,PG-13,3/24/00,94,5.5,Shane West,8432,Mark Schwahn
2000,1.3938,"$1,200,000 ","$1,672,560 ","$9,180,275 ","$12,795,467 ",Hart-Sharp Entertainment,USA,Kenneth Lonergan,Drama,,You Can Count on Me,R,12/22/00,111,7.7,Laura Linney,24362,Kenneth Lonergan
